response_id,Timestamp,Q1_AgeGroup_code,Q1_AgeGroup_label,Q2_Gender_code,Q2_Gender_label,Q3_Occupation_code,occupation_normalized,occupation_detail,Q4_Nationality_code,nationality_group,nationality_detail,Q4b_AfricanCountry_normalized,Q5_VisitReason_code,Q5_VisitReason_label,Q6_Familiarity_code,Q6_Familiarity_label,Q7_HeardFrom_code,Q7_HeardFrom_label,platform_use_facebook,platform_use_instagram,platform_use_tiktok,platform_use_youtube,platform_use_whatsapp,platform_use_telegram,Q9_VisitedWebsite_code,Q9_VisitedWebsite_label,Q10_WebsiteRating,Q11a_PersRec,Q11b_Chatbot,Q11c_TrustAI,Q11d_AutoNotif,Q11e_AIRecipes,q12_chatbot,q12_personalised_rec,q12_auto_notif,q12_ai_recipes,q12_smart_search,q12_ai_promotions,q12_none,Q13_SocialAdPurchase_code,Q13_SocialAdPurchase_label,Q14_OnlineGrocery_code,Q14_OnlineGrocery_label,q15_product_showcases,q15_recipes_tutorials,q15_cultural_stories,q15_promotions_sales,q15_customer_reviews,q15_behind_the_scenes,q15_educational,q16_social_media,q16_email,q16_whatsapp_telegram,q16_sms,q16_no_comms,q17_limited_range,q17_info_hard_to_find,q17_no_online_order,q17_poor_website,q17_poor_communication,q17_language_barriers,q17_none,q17_other,Q18_Improvement
175,2026-05-11T04:55:40,c,26–35,b,Female,b,Employed full-time,,b,African,,Nigeria,h,To find ingredients for specific recipes,b,I am an occasional customer (shop a few times a year),f,Google search,Several times/week,Daily,Daily,Once a week,Daily,Once a week,b,"Yes, once",2,5,4,3,4,5,1,0,1,1,1,1,0,a,Very often,b,Most of the time,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Social media improvement
176,2026-05-11T04:59:21,c,26–35,a,Male,b,Employed full-time,,b,African,,DR Congo,b,To buy cosmetics or personal care products,c,I have visited once or twice,e,Walking past the store,Once a week,Several times/week,Several times/week,Daily,Daily,Daily,b,"Yes, once",4,2,2,4,4,4,0,0,1,0,0,0,0,a,Very often,d,Occasionally,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,
177,2026-05-11T05:02:57,c,26–35,b,Female,d,Self-employed,,a,Lithuanian,,,d,Recommendation from friends or family,d,I have heard of it but never visited,d,Friend or family recommendation,Several times/week,Daily,Daily,Daily,Once a week,Several times/week,d,I was not aware they had a website,,1,2,3,2,2,0,0,0,0,0,0,1,a,Very often,a,Always,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,I have no idea what their online services look like so I have no suggestions
178,2026-05-11T05:06:47,b,18–25,b,Female,a,Student,,b,African,,Cameroon,a,To buy specific food products unavailable elsewhere,a,I am a regular customer (shop at least once a month),a,Facebook,Daily,Daily,Daily,Rarely,Daily,Rarely,b,"Yes, once",3,5,5,4,4,3,1,1,1,1,1,1,0,b,Often,d,Occasionally,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,The Website needs some improvement
179,2026-05-11T05:07:36,b,18–25,d,Prefer not to say,a,Student,,c,European (non-Lithuanian),,,h,To find ingredients for specific recipes,e,I have never heard of African Market,,,Daily,Daily,Daily,Once a week,Once a week,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,2026-05-11T05:10:18,c,26–35,b,Female,d,Self-employed,,,Asian,Sri Lanka,,b,To buy cosmetics or personal care products,d,I have heard of it but never visited,d,Friend or family recommendation,Rarely,A few times/month,Daily,Once a week,Daily,Once a week,c,No,,4,3,4,1,2,1,0,0,1,0,1,0,a,Very often,a,Always,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,
181,2026-05-11T05:11:20,c,26–35,c,Other,a,Student,,,Middle Eastern,Middle Eastern,,e,Convenience of location,e,I have never heard of African Market,,,Daily,Daily,Never,Several times/week,Several times/week,Daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,2026-05-11T05:18:31,b,18–25,a,Male,a,Student,,c,European (non-Lithuanian),,,h,To find ingredients for specific recipes,e,I have never heard of African Market,,,Daily,Daily,Several times/week,Daily,Several times/week,Daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,2026-05-11T05:44:33,c,26–35,b,Female,e,Unemployed,,b,African,,Ghana,f,Affordable prices compared to alternatives,b,I am an occasional customer (shop a few times a year),f,Google search,Daily,Daily,Daily,Several times/week,Several times/week,Several times/week,c,No,,4,4,3,3,4,0,0,0,0,0,0,1,d,Rarely,d,Occasionally,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
184,2026-05-11T06:00:57,b,18–25,b,Female,c,Employed part-time,,c,European (non-Lithuanian),,,c,Curiosity about African cuisine or culture,c,I have visited once or twice,f,Google search,Several times/week,Once a week,Once a week,A few times/month,Daily,Rarely,c,No,,3,4,4,4,4,1,0,0,1,1,0,0,c,Sometimes,d,Occasionally,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,
